,id,member_id,loan_amnt,grade,desc
296,7337222,8999285,10000.0,D,  Borrower added on 09/17/13 > The wedding of our dreams!  My fianc&eacute; and I are planning a family-focused wedding in my hometown; both of us coming from large families and with our parents retired we're covering the expenses and weddings are proving to be more expensive than we anticipated.<br>
844,7365470,9027579,31825.0,C,  Borrower added on 09/15/13 > Pay Off High Credit Card Balances<br>
110,676471,864466,20000.0,G,"  Borrower added on 02/15/11 > My husband and I have just purchased a new home. We would like to add a pool. I have been a special education teacher for ten years now, and have great job security. I haven't been late on a bill payment in almost 5 years and am comfortable that we can afford this payment.<br/>"
278,612322,785185,20000.0,F,"  Borrower added on 11/09/10 > debt refi, always pay bills on time<br/> Borrower added on 11/09/10 > debt refi<br/>"
951,7051350,8713086,13000.0,B,  Borrower added on 02/14/14 > I am consolidating credit card debt incurred over three years ago and having a concrete end in sight is more motivating.  I am eagerly striving towards becoming completely debt free.<br>
14,11636314,13608481,7500.0,B,  Borrower added on 02/08/14 > debt consolidation<br>
168,12977415,15009606,10850.0,D,"  Borrower added on 03/17/14 > Consolidate credit card debt used to update house: carpeting, kitchen tile floor and appliances, bathroom tile floor and shower into one manageable payment plan.<br>"
1016,3677311,4640617,17200.0,A,  Borrower added on 03/13/13 > This loan is for some high interest loans I made some bad decisions on and to cut overall costs of the loans I need to reduce interest rates which will also put me in a place to pay these off in 3 years. Thanks you for your consideration.<br>
639,3240639,3983526,12000.0,B,  Borrower added on 01/24/13 > pay off high interest credit card<br><br> Borrower added on 01/24/13 > pay off high interest credit card<br>
884,11975761,13967919,15000.0,B,  Borrower added on 02/18/14 > Debt consolidation<br>
436,6395368,7927476,9000.0,B,  Borrower added on 07/18/13 > pay off some debt i have incurred.<br>
424,142734,142718,25000.0,B,I currently own a portion of a web business that focuses on targeted advertising.  I am seeking funding to increase my ownership in this business.  The business was started six months ago and is thriving.  The business plan layed out for this is very solid and is controlled by collegues that have extensive technical backgrounds.  The other partners all have personal loans and are able to repay and contiually reinvest each month.  I am seeking this loan to set up my finances for the rest of my life.  Thank you for you consideration.
909,12876639,14898774,18750.0,C,  Borrower added on 03/13/14 > I would like to consolidate my debts into one easy payment with a definite end date. Thank you.<br>
517,485111,617922,20000.0,B,"  Borrower added on 02/12/10 > I will be using this money to consolidate the $4000 on my credit card into a better interest rate. <br/><br/>I will also be using $10,000 plus $5000 of my own to fund my Forex account from a Micro account up to a Standard account. From my initial investment of $500, I now have $1800 in my account from trading profits over the last three months. I would like to trade standard lots on tighter spreads in which I need more account equity.  <br/><br/>The remainder of the money will be used as a safety net. This loan will likely be paid off early.<br/>"
224,1006766,1233117,10800.0,D,  Borrower added on 10/29/11 > Trying to consolidate all 5 CreditCards from medical and vehicle expenses. Structure and order help me. Thank you<br/>
650,4275348,5457566,3975.0,E,  Borrower added on 04/09/13 > pay down some credit cards and do some projects in my home.<br>
560,6326745,7858514,18000.0,F,  Borrower added on 07/13/13 > Want to consolidate some things so I can make bigger payments and pay things off more quickly.<br>
76,3366459,4218925,6000.0,B,  Borrower added on 02/10/13 > The loan is to help consolidate a couple small high interest cards. I also have a closing on the sell of my home that I need to have cash for the closing.<br>
480,1062330,1294396,11000.0,A,  Borrower added on 12/09/11 > Eliminate credit card debt.<br>
777,297158,297155,10000.0,C,Consolidate debt and home improvement projects
1004,1395862,1643071,7325.0,B,  Borrower added on 07/02/12 > to consolidate my debts<br>
216,890209,1106883,13300.0,E,  Borrower added on 09/26/11 > Looking to pay off high interest rate cards and keep my disposable income high without having to dedicate large amounts of income to paying off the cards.<br/>
1061,5835480,7297213,4000.0,D,  Borrower added on 06/18/13 > I need to replace my A/C uint at home<br>
382,8568047,10320001,11200.0,C,  Borrower added on 10/28/13 > To pay down credit cards and a credit account<br>
86,1396222,1643382,7000.0,B,  Borrower added on 06/29/12 > I wanted to pay off my credit card debt because I have a high APR<br>
1088,12405279,14417435,12000.0,B,  Borrower added on 02/26/14 > Credit card debt consolidation<br>
420,6300016,1750194,14500.0,B,  Borrower added on 07/15/13 > To help fund my daughters weeding.<br><br> Borrower added on 07/15/13 > The money will be used to pay for my daughters weeding and reduce credit card balances.<br>
360,7345662,9007790,12000.0,C,  Borrower added on 09/15/13 > Paying off higher interest credit cards to be able to save monthly payments and get out ofdeb<br>
65,757612,957674,20000.0,A,"  Borrower added on 05/20/11 > I am requesting this loan in order to cover my wedding expenses. I have budgeted the payment amount for this loan into my monthly budget, and have calculated that after all of my bills, including this loan, have been paid, I will still have approximately $1,000.00 per month left over. I have been continuously employed in the same field  for over ten years, and I have never been late or defaulted on any debts and I would appreciate your help with this loan. Thank you.<br/>"
741,481657,612600,9600.0,A, 
509,10098193,11949905,14000.0,D,  Borrower added on 01/28/14 > Pay off credit cards<br>
655,816557,1024311,5000.0,D,  Borrower added on 07/15/11 > Moving to San Francisco from Santa Clara for a new job. Exciting!<br/>
227,6606973,8189102,10750.0,B,  Borrower added on 08/05/13 > I need to pay off all my credit cards  instead of having 7-8 payments a month. I will only have one payment which will be great.<br>
578,1334553,1579900,5250.0,D,  Borrower added on 06/04/12 > My loan is to pay off my credit card debt. I have 6 accounts open and want to close them out with no debt. I rather pay one payment per month and not have six open with multiple interest charges coming at me monthly. I will pay the loan back.<br>
210,3291033,4063958,10000.0,C,  Borrower added on 01/30/13 > consolidate credit cards<br><br> Borrower added on 01/30/13 > i would like to consolidate my credit cards so i can start saving money to maybe someday purchase my own place<br><br> Borrower added on 01/30/13 > i would like to consolidate my credit cards so i can start saving money to maybe someday purchase my own place<br>
495,765780,966718,4000.0,E,  Borrower added on 05/23/11 > To purchase economical transportation for my personal and work needs.<br/>
641,6316515,7848337,6650.0,D,  Borrower added on 07/13/13 > Want to pay off credit cards for household with interest rate over 17%<br>
403,1442204,1694470,6000.0,B,  Borrower added on 07/25/12 > Consolidating bills car repairs<br><br>  Borrower added on 07/30/12 > On 8 our dr to camping vacation our truck broke down. We had to use part of our mort. Payment to pay for repairs. We need to replace that money soon. It would also help to consolidate loans to alleviate the pinch with 3 children going back to school soon.<br>
85,8886704,10678706,12000.0,B,  Borrower added on 11/11/13 > Pay off high interest cards &amp; update furniture<br>
55,2485830,2978080,3000.0,B,  Borrower added on 12/15/12 > I would like to pay off some credit card debt.  I am a very good candidate for this loan and I am a home owner currently serving overseas for a few more months.<br><br> Borrower added on 12/15/12 > I would like to pay off some credit card debt I believe I am a good candidate for this loan as I have never been late on any of my bills. I also would like to start being a invester as well on Lending Club.  I am also currently serving overseas for the next couple of months.<br><br> Borrower added on 12/15/12 > I will be using this loan to consolidate debt. I am a good candidate for this loan and I have paid all my debts on time.  I am also currently serving overseas for a few more months and will be able to repay this loan back well before the required time.<br><br> Borrower added on 12/16/12 > I will be using this loan to consolidate debt.  I am a good candidate for this loan as I have not been late on any of my obligations.  I plan on paying this loan off and becoming a lender myself.<br>
565,3293175,4066365,33425.0,C,  Borrower added on 02/02/13 > To help me be debt free in 3 years!<br>
729,484881,617540,4000.0,B,"  Borrower added on 02/16/10 > Thank you for your time!<br/> Borrower added on 02/17/10 > Thanks, lenders.<br/>"
998,2175371,2548270,20000.0,C,  Borrower added on 11/20/12 > I would like to consolidate a few of my higher interest rate credit cards.<br>
461,11675037,13647187,7000.0,C,  Borrower added on 02/06/14 > To pay off some bill and home repair.<br>
734,10607404,12479401,12000.0,B,  Borrower added on 01/15/14 > MY LOAN WILL BE USED TO PAY OFF HIGHER INTEREST RATE CREDIT CARDS.<br>
511,2486003,2978259,32350.0,F,  Borrower added on 12/16/12 > This loan is for debt consolidation.  I have several outstanding credit Card bills with those being consolidated it will free up a huge financial distress!!<br>
808,1468220,1724660,8500.0,C,"  Borrower added on 08/17/12 > My debt burden began in college when Citi Bank gave a $6,500 limit 26.99% interest card to a teenager.  Now that I have graduated (B.A. in 2009, M.Ed. in 2011) I am in my first great-paying full-time professional job.  I would like the opportunity to correct the financial mistakes of my youth.<br>"
819,1150246,1391252,19000.0,D,  Borrower added on 02/13/12 > This is a loan to consolidate debt for a reduced rate to pay off faster.  I have not made a late payment on a credit card in well over 2 years.  Never had a late or missed payment on my home mortgage or car loan.<br>
600,1686046,1968289,13850.0,B,"  Borrower added on 10/24/12 > Debt consolidation, trying to pay credit cards and just pay one payment a month, too many payments a month. dont want to skip any payments that may lead to late charges and interest. and that willl affect my credit.<br><br> Borrower added on 10/24/12 > $500 includes rent and $300 car payment, have couple of credit cards the interest rates are 15% and more so its better to have one payment with less interest rate.<br>"
